City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,qaanaaq,77.484,-69.3632,20.79,62,100,14.38,GL,1667565544
85,ponta do sol,32.6667,-17.1,76.71,80,6,0.94,PT,1667565545
86,fairbanks,64.8378,-147.7164,12.16,86,100,4.61,US,1667565378
87,bredasdorp,-34.5322,20.0403,71.98,65,69,15.03,ZA,1667565546
88,deputatskiy,69.3,139.9,-14.62,91,88,1.92,RU,1667565546
89,yellowknife,62.456,-114.3525,16.32,92,100,10.36,CA,1667565429
90,severo-kurilsk,50.6789,156.125,37.4,77,43,9.37,RU,1667565547
91,kushima,31.4583,131.2333,60.1,70,36,6.55,JP,1667565548
92,hay river,60.8156,-115.7999,19.38,86,75,10.36,CA,1667565430
93,cap malheureux,-19.9842,57.6142,80.47,62,18,5.99,MU,1667565549
94,nieuw amsterdam,5.8833,-55.0833,82.02,81,40,5.75,SR,1667565550
95,rikitea,-23.1203,-134.9692,69.98,69,100,15.35,PF,1667565550
96,cayenne,4.9333,-52.3333,80.64,83,20,3.44,GF,1667565551
97,neiafu,-18.65,-173.9833,77.68,88,40,2.3,TO,1667565551
98,castro,-24.7911,-50.0119,57.04,66,43,6.24,BR,1667565552
99,vaini,-21.2,-175.2,75.36,88,20,6.91,TO,1667565552
100,saint george,37.1041,-113.5841,36.19,66,0,3.44,US,1667565491
101,vadso,70.0744,29.7487,38.28,87,75,11.5,NO,1667565553
102,mehamn,71.0357,27.8492,40.95,93,75,8.05,NO,1667565553
103,batagay-alyta,67.8006,130.4114,-11.88,89,68,5.26,RU,1667565554
104,barra,-11.0894,-43.1417,71.78,90,100,6.78,BR,1667565554
105,arraial do cabo,-22.9661,-42.0278,67.96,77,75,8.05,BR,1667565555
106,hasaki,35.7333,140.8333,54.0,65,98,22.32,JP,1667565555
107,saint-pierre,-21.3393,55.4781,78.48,65,40,5.75,RE,1667565556
108,zvenyhorodka,49.0787,30.9675,53.64,53,84,4.05,UA,1667565556
109,atherton,53.5237,-2.4935,54.79,80,76,1.99,GB,1667565557
110,cape town,-33.9258,18.4232,77.27,68,20,12.66,ZA,1667565557
111,port-gentil,-0.7193,8.7815,80.19,75,95,4.56,GA,1667565558
112,kruisfontein,-34.0033,24.7314,75.88,59,10,23.35,ZA,1667565560
113,turiacu,-1.6633,-45.3717,84.47,70,63,5.21,BR,1667565560
114,kavieng,-2.5744,150.7967,82.6,75,98,5.5,PG,1667565561
115,aleksandrovka,46.8383,32.7612,55.02,49,22,3.36,UA,1667565561
116,nantucket,41.2835,-70.0995,59.14,94,0,5.75,US,1667565562
117,bilibino,68.0546,166.4372,-15.11,97,5,6.44,RU,1667565563
118,osvaldo cruz,-21.7967,-50.8786,67.8,46,0,13.89,BR,1667565563
119,nambucca heads,-30.65,153.0,57.16,76,40,6.85,AU,1667565564
120,anadyr,64.75,177.4833,-5.3,84,0,13.42,RU,1667565564
121,pokhara,28.2333,83.9833,62.42,70,2,4.68,NP,1667565565
122,cabedelo,-6.9811,-34.8339,84.87,63,51,11.54,BR,1667565565
123,salalah,17.0151,54.0924,84.29,58,20,6.91,OM,1667565566
124,parnamirim,-5.9156,-35.2628,82.29,69,75,13.8,BR,1667565566
125,mosquera,4.7059,-74.2302,51.89,93,40,3.44,CO,1667565566
126,norman wells,65.282,-126.8329,6.84,78,100,10.36,CA,1667565568
127,sokolo,14.7328,-6.1219,93.47,10,0,5.99,ML,1667565568
128,clyde river,70.4692,-68.5914,12.43,79,100,9.22,CA,1667565569
129,luderitz,-26.6481,15.1594,68.36,67,0,10.92,NA,1667565569
130,leshukonskoye,64.8989,45.7622,19.09,95,25,2.44,RU,1667565570
131,jizan,17.3333,42.6667,92.34,57,53,13.82,SA,1667565571
132,kaeo,-35.1,173.7833,51.33,93,15,4.61,NZ,1667565571
133,carnarvon,-24.8667,113.6333,68.47,77,0,25.19,AU,1667565571
134,sola,-13.8833,167.55,74.07,94,20,0.0,VU,1667565572
135,avarua,-21.2078,-159.775,73.45,78,75,12.66,CK,1667565572
136,ponoka,52.6768,-113.5815,7.88,85,50,6.42,CA,1667565573
137,ribeira grande,38.5167,-28.7,72.0,73,40,9.22,PT,1667565573
138,quatre cocos,-20.2078,57.7625,80.71,71,42,7.47,MU,1667565574
139,puerto leguizamo,-0.1934,-74.7819,70.45,70,12,2.48,CO,1667565574
140,arosa,46.7779,9.6762,38.35,84,30,3.94,CH,1667565575
141,paralimni,35.0375,33.9833,79.29,72,0,8.99,CY,1667565575
142,poum,-20.2333,164.0167,79.11,75,2,7.81,NC,1667565576
143,beringovskiy,63.05,179.3167,3.9,94,55,6.98,RU,1667565576
144,tevriz,57.509,72.4042,38.91,68,100,10.22,RU,1667565577
145,half moon bay,37.4636,-122.4286,52.32,72,100,4.61,US,1667565578
146,sitka,57.0531,-135.33,37.29,87,100,6.91,US,1667565578
147,bluff,-46.6,168.3333,48.76,73,100,27.45,NZ,1667565578
148,jucas,-6.5253,-39.5275,79.32,67,100,3.85,BR,1667565579
149,kodiak,57.79,-152.4072,27.91,40,0,27.63,US,1667565579
150,marks,51.7111,46.7486,40.28,77,100,5.12,RU,1667565580
151,kuloy,61.0305,42.4925,25.88,90,14,2.86,RU,1667565580
152,fukue,32.6881,128.8419,61.05,53,6,16.87,JP,1667565582
153,misratah,32.3754,15.0925,76.71,36,0,6.31,LY,1667565358
154,nyurba,63.2842,118.3319,14.52,92,100,10.29,RU,1667565582
155,camalu,30.85,-116.0667,53.69,49,2,4.36,MX,1667565583
156,esperance,-33.8667,121.9,60.76,83,100,14.63,AU,1667565583
157,vanimo,-2.6741,141.3028,80.2,84,100,1.25,PG,1667565584
158,wagar,16.1525,36.2032,97.72,20,10,10.09,SD,1667565584
159,namwala,-15.7504,26.4384,86.22,36,40,5.55,ZM,1667565584
160,kahului,20.8947,-156.47,78.84,77,0,8.05,US,1667565585
161,gambiran,-6.7988,111.4951,80.04,80,100,3.09,ID,1667565585
162,naberera,-4.2,36.9333,81.86,24,8,12.53,TZ,1667565606
163,yulara,-25.2406,130.9889,73.08,20,0,10.04,AU,1667565607
164,dikson,73.5069,80.5464,13.6,97,86,5.59,RU,1667565607
165,sukumo,32.9333,132.7333,54.95,77,8,8.01,JP,1667565608
166,kolokani,13.5728,-8.0339,93.47,11,0,6.69,ML,1667565609
167,marawi,7.9986,124.2928,69.85,95,100,1.54,PH,1667565609
168,selkirk,50.1436,-96.8845,24.87,89,57,5.48,CA,1667565479
169,bandarbeyla,9.4942,50.8122,80.55,67,0,12.35,SO,1667565610
170,paris,48.8534,2.3488,55.87,78,75,12.66,FR,1667565420
171,matara,5.9485,80.5353,78.69,85,75,8.7,LK,1667565611
172,san rafael,-34.6177,-68.3301,69.71,19,100,16.11,AR,1667565611
173,airai,-8.9266,125.4092,63.05,91,99,1.81,TL,1667565612
174,pizarro,4.9533,-77.366,73.47,97,100,3.58,CO,1667565613
175,ishigaki,24.3448,124.1572,73.53,88,75,19.57,JP,1667565613
176,kaitangata,-46.2817,169.8464,49.51,63,61,16.11,NZ,1667565614
177,port alfred,-33.5906,26.891,70.18,84,40,5.01,ZA,1667565614
178,hamilton,39.1834,-84.5333,58.75,84,0,9.22,US,1667565379
179,lata,40.1629,-8.3327,63.07,48,100,3.96,PT,1667565616
180,nizhneangarsk,55.7833,109.55,24.75,70,100,4.41,RU,1667565617
181,danane,7.2596,-8.155,92.21,37,71,1.97,CI,1667565617
182,adrar,20.5022,-10.0711,86.07,9,0,13.49,MR,1667565618
183,saint-philippe,-21.3585,55.7679,78.39,80,95,5.12,RE,1667565619
184,mersing,2.4312,103.8405,80.51,89,40,4.61,MY,1667565359
185,darab,28.7519,54.5444,72.21,42,30,16.71,IR,1667565619
186,esso,55.9333,158.7,30.81,97,100,4.09,RU,1667565620
187,ambikapur,23.1167,83.2,68.02,59,0,0.65,IN,1667565642
